매장,주소,지역
뚜레쥬르 구미문성,경상북도 구미시 고아읍 문성로 34 (문성리) 문성2지구 도새가발구역1B-2L 1층,경북
뚜레쥬르 구미원평,경상북도 구미시 구미중앙로21길 21 (원평동) 경북 구미시 구미중앙로21길 21 1층 (원평동,경북
뚜레쥬르 구미북삼,경상북도 구미시 금오대로14길 4 (오태동) 742-5 1층 뚜레쥬르,경북
뚜레쥬르 구미현진,경상북도 구미시 도봉로 76-61 (도량동),경북
뚜레쥬르 구미봉곡중앙,경상북도 구미시 봉곡북로 65 (봉곡동),경북
뚜레쥬르 구미확장,경상북도 구미시 산동면 신당1로 24,경북
뚜레쥬르 구미상모,경상북도 구미시 상사서로 33-2 (상모동),경북
뚜레쥬르 구미신비로,경상북도 구미시 신비로 95(공단동),경북
뚜레쥬르 구미형곡제일,경상북도 구미시 신시로 73 (형곡동) 경상북도 구미시 형곡동 144-5 1층. 現새서,경북
뚜레쥬르 구미옥계,경상북도 구미시 옥계북로 9 (옥계동) 890-4 1층,경북
뚜레쥬르 구미구평,경상북도 구미시 인동36길 24-2 (진평동),경북
뚜레쥬르 김천부곡센트럴,"경상북도 김천시 부곡길 201 (부곡동) 경북 김천시 부곡길 2011층 102호,103",경북
뚜레쥬르 김천신음,경상북도 김천시 시청로 69 (신음동),경북
뚜레쥬르 김천혁신,"경상북도 김천시 해오름2로 3,1층(율곡동) 경상북도 김천시 해오름2로 3,1층(율곡동)",경북
뚜레쥬르 김천율곡,경상북도 김천시 혁신4로 69,경북
뚜레쥬르 문경모전,경상북도 문경시 당교로 261 (모전동),경북
뚜레쥬르 문경중앙,경상북도 문경시 중앙로 160-1 (흥덕동),경북
뚜레쥬르 경북봉화,경상북도 봉화군 봉화읍 봉화로 1144,경북
뚜레쥬르 상주낙양,경상북도 상주시 경상대로 2927-1 (낙양동),경북
뚜레쥬르 상주터미널,경상북도 상주시 삼백로 82 (무양동)장원프라자 110호,경북
뚜레쥬르 경북성주,경상북도 성주군 성주읍 성주로 3214,경북
뚜레쥬르 안동정하,경상북도 안동시 강남5길 39 (정하동) 1층 뚜레쥬르 안동정하점,경북
뚜레쥬르 용상홈마트,경상북도 안동시 경동로 822 (용상동),경북
뚜레쥬르 안동옥동,경상북도 안동시 경북대로 417 (옥동),경북
뚜레쥬르 옥동광명,"경상북도 안동시 광명로 168 (옥동,신성타워) 신성타워 1층",경북
뚜레쥬르 안동병원,경상북도 안동시 앙실로 11 안동병원 (수상동),경북
뚜레쥬르 옥동호반,경상북도 안동시 옥서1길 63 (옥동),경북
뚜레쥬르 경북안동용상,경상북도 안동시 중평길 107-27 1층 101호 뚜레쥬르,경북
뚜레쥬르 안동풍산,경상북도 안동시 풍산읍 풍산중앙길 89-1,경북
뚜레쥬르 경북신도청,경상북도 안동시 풍천면 수호로 63,경북
뚜레쥬르 경북영덕,경상북도 영덕군 덕곡길 99,경북
뚜레쥬르 영주중앙,경상북도 영주시 중앙로 78-0 (하망동),경북
뚜레쥬르 영주가흥제일,경상북도 영주시 대학로222 1층 뚜레쥬르,경북
뚜레쥬르 경북영천,경상북도 영천시 충효로 48 (문외동) 1층 (문외동),경북
뚜레쥬르 예천중앙,경상북도 예천군 중앙로 28-1,경북
뚜레쥬르 도청신도시,경상북도 예천군 호명면 행복로 229 (경북도청신도시우방아이유쉘센트럴),경북
뚜레쥬르 울진북면,경상북도 울진군 북면 울진북로 2102,경북
뚜레쥬르 경북울진,경상북도 울진군 울진읍 울진중앙로 137,경북
뚜레쥬르 울진후포,경상북도 울진군 후포면 후포삼율로 100,경북
뚜레쥬르 의성안계,경상북도 의성군 안계면 안계길 165,경북
뚜레쥬르 경북의성,경상북도 의성군 의성읍 중앙길 78-1 1층,경북
뚜레쥬르 경북청도,경상북도 청도군 청도읍 청화로 139 (고수리) 1층,경북
뚜레쥬르 청도휴게소(부산),경상북도 청도군 청도읍 하지길 59-49 (거연리) (주)케이알산업청도(하)휴게소 뚜레쥬르,경북
뚜레쥬르 청도휴게소(대구),경상북도 청도군 청도읍 하지길 59-50 (거연리) (주)케이알산업 청도(상)휴게소 뚜레쥬르,경북
뚜레쥬르 포항구룡포,경상북도 포항시 남구 구룡포읍 구룡포길 81-1,경북
뚜레쥬르 포항이동,경상북도 포항시 남구 대이로 115,경북
