,매장명,주소,지역,간식빵,기타,샌드위치류,샐러드류,식빵류,신제품,크림빵,파이/패스트리,"피자빵,고로케"
27,뚜레쥬르 수원판타지움,경기도 수원시 영통구 덕영대로 1566 (영통동) 판타지움몰 1층,경기도,2825.0,4463.6,7360.0,8300.0,5233.3,4600.0,3250.0,2866.7,3300.0
28,뚜레쥬르 수지구청역,"경기도 용인시 수지구 수지로 296번 길 39, 1층 일부(풍덕천동)",경기도,3062.5,4792.3,8233.3,10000.0,5610.0,5500.0,3716.7,4175.0,3760.0
29,뚜레쥬르 시화세종,"경기도 시흥시 함송로 21 (정왕동,굿모닝프라자) 109-110",경기도,2680.0,3885.7,6616.7,,4927.3,4600.0,3833.3,2800.0,3120.0
30,뚜레쥬르 신곡초교,경기도 의정부시 능곡로 26(신곡동),경기도,3525.0,4280.5,7450.0,8500.0,5200.0,4600.0,3233.3,2400.0,3116.7
31,뚜레쥬르 안산다농,경기도 안산시 상록구 예술광장로 1 (월피동),경기도,3133.3,4178.0,7280.0,,4860.0,4600.0,3257.1,2933.3,3025.0
32,뚜레쥬르 안산센트럴포레,경기도 안산시 화랑로102 101-102,경기도,3142.9,4296.7,6960.0,8675.0,5110.0,4600.0,3314.3,3066.7,3100.0
33,뚜레쥬르 안양금정역,경기도 군포시 군포로 747-1 (산본동),경기도,3625.0,4394.7,7114.3,8350.0,5262.5,4600.0,2866.7,2800.0,3180.0
34,뚜레쥬르 안양수촌마을,경기도 안양시 동안구 관평로305번길 41 1층 (관양동),경기도,2700.0,4316.0,,,4660.0,4300.0,2650.0,2800.0,2950.0
35,뚜레쥬르 안양호계현대,"경기도 안양시 동안구 경수대로 454 (호계동,유환프라자) 103호",경기도,3212.5,4396.3,7216.7,,5140.0,4600.0,4175.0,3050.0,3250.0
36,뚜레쥬르 양주옥정고,"경기도 양주시 옥정로7길 9-5 옥정동) 케이타워 108, 109호",경기도,3333.3,4397.4,6900.0,,4980.0,4600.0,2600.0,2933.3,3650.0
37,뚜레쥬르 양주옥정역,"경기도 양주시 옥정로 226 (옥정동) 제일타워 106, 107",경기도,3307.7,4336.8,7536.4,11000.0,4955.6,4933.3,3428.6,2900.0,3320.0
38,뚜레쥬르 양평서종,경기도 양평군 서종면 무내미길 46 (문호리) 1층,경기도,3345.5,4404.2,6480.0,8500.0,5038.9,4933.3,3860.0,2933.3,3150.0
39,뚜레쥬르 여주역푸르지오,경기도 여주시 세종로 222-4,경기도,3033.3,4456.8,7536.4,8500.0,5228.6,4600.0,3750.0,3100.0,3375.0
40,뚜레쥬르 여주오학,경기도 여주시 현암3길 1 (현암동) 1층 뚜레쥬르 여주오학점,경기도,3216.7,4773.7,7666.7,8500.0,5350.0,,3975.0,3200.0,3450.0
41,뚜레쥬르 오산누읍,경기도 오산시 누읍로 22 (누읍동) 휴먼시아아파트 상가 1층 뚜레쥬르,경기도,3300.0,4759.1,7060.0,,4760.0,4600.0,3625.0,2933.3,3233.3
42,뚜레쥬르 오산법원,"경기도 오산시 궐리사로 64 (궐동,구꿈) 1층 뚜레쥬르",경기도,2830.0,3673.5,,,4657.1,4600.0,3900.0,2800.0,3233.3
43,뚜레쥬르 오산역,경기도 오산시 역광장로 55,경기도,2260.0,3545.5,7225.0,8500.0,4560.0,,3900.0,3200.0,3133.3
44,뚜레쥬르 오전중앙,"경기도 의왕시 오전로 216 1,2호",경기도,2916.7,4382.5,7100.0,8300.0,5522.2,4600.0,3480.0,2933.3,3116.7
45,뚜레쥬르 옥정한신더휴,"경기도 양주시 옥정서로1길 65 ,상가동 107,108호(옥정동, 양주옥정신도시한신더휴)",경기도,3040.0,4081.6,6933.3,7900.0,5125.0,4900.0,2825.0,2933.3,3240.0
46,뚜레쥬르 용인데이파크,"경기도 용인시 수지구 성복2로 51 (성복동,데이파크) 데이파크B동 103,104호",경기도,3488.9,4722.9,8450.0,10233.3,5242.9,4600.0,4180.0,3333.3,3433.3
47,뚜레쥬르 용인둔전,경기도 용인시 처인구 포곡읍 포곡로118번길 2 (둔전리) 1층 뚜레쥬르,경기도,3187.5,4293.9,7322.2,8500.0,4909.1,4600.0,4000.0,2400.0,3180.0
48,뚜레쥬르 용인양지,"경기도 용인시 처인구 양지면 양지로 145 (양지리,밝은미소치과) 1층 뚜레쥬르",경기도,3000.0,4367.9,7000.0,8500.0,4671.4,4600.0,3400.0,3033.3,3266.7
49,뚜레쥬르 용인죽전,경기도 용인시 수지구 현암로 136,경기도,2575.0,5057.9,7500.0,1100.0,4466.7,4600.0,3800.0,3133.3,3700.0
50,뚜레쥬르 용인죽전,"경기도 용인시 수지구 현암로 136,103,104,105호(죽전동,세종프라자)",경기도,2575.0,5057.9,7500.0,1100.0,4466.7,4600.0,3800.0,3133.3,3700.0
51,뚜레쥬르 용인죽전,"경기도 용인시 수지구 현암로 136,103,104,105호(죽전동,세종프라자)",경기도,2575.0,5057.9,7500.0,1100.0,4466.7,4600.0,3800.0,3133.3,3700.0
52,뚜레쥬르 용인파머스마켓,"경기도 용인시 처인구 금령로55번길 3 (김량장동,농협파머스) 용인농협 파머스마켓1층",경기도,3480.0,4505.7,7477.8,9750.0,5360.0,5033.3,4066.7,3200.0,3360.0
53,뚜레쥬르 용인흥덕,경기도 용인시 기흥구 흥덕중앙로 55 리써밋타워 114호,경기도,3266.7,3961.1,7125.0,,4833.3,4600.0,3600.0,3166.7,3033.3
54,뚜레쥬르 의왕역,경기도 의왕시 부곡중앙로 6-4 6-4,경기도,3166.7,4148.6,7120.0,8300.0,4980.0,4600.0,2875.0,2900.0,3033.3
55,뚜레쥬르 의정부센트럴,"경기도 의정부시 평화로 446(의정부동, 신영빌딩) 1층 101호 뚜레쥬르",경기도,2711.1,4018.2,7566.7,8500.0,4940.0,4933.3,3362.5,2400.0,3040.0
56,뚜레쥬르 의정부신곡,경기도 의정부시 동일로472번길 7 (신곡동) 1층 뚜레쥬르,경기도,3040.0,4339.0,7400.0,8500.0,5218.2,4600.0,3620.0,2800.0,3150.0
57,뚜레쥬르 이천SK하이닉스,경기도 이천시 부발읍 경충대로 2096-4,경기도,,,,,,5000.0,,,
58,뚜레쥬르 이천창전사거리,경기도 이천시 이섭대천로 1284,경기도,3311.1,4380.0,7466.7,,5862.5,4600.0,4014.3,3600.0,3475.0
59,뚜레쥬르 일산동국대병원점,"경기도 고양시 일산동구 동국로 27 (식사동,동국대학교일산병원(일산한방병원)) 1층",경기도,3287.5,4093.8,6488.9,10650.0,4750.0,4600.0,2700.0,3133.3,3250.0
60,뚜레쥬르 일산산들,경기도 고양시 일산서구 고양대로 726 (일산동) 1층 뚜레쥬르,경기도,2855.6,3982.9,7466.7,,4611.1,4600.0,2960.0,2400.0,3000.0
61,뚜레쥬르 장현,경기도 남양주시 진접읍 장현리 60-11 1층 뚜레쥬르,경기도,3050.0,3971.9,,,4923.1,,2900.0,3200.0,3120.0
62,뚜레쥬르 카페구리갈매,경기도 구리시 산마루로 24 신성타워 104호,경기도,2785.7,4518.8,7442.9,8500.0,5038.5,4600.0,3750.0,3000.0,3250.0
63,뚜레쥬르 카페부천역,"경기도 부천시 부천로 11 (심곡동,해태쇼핑) 잼존 플라자 1층",경기도,3222.2,4300.0,,,5142.9,4600.0,3233.3,2800.0,3100.0
64,뚜레쥬르 카페서판교,경기도 성남시 분당구 운중로 249 (판교동),경기도,2877.8,4683.3,7620.0,8300.0,4520.0,4600.0,5300.0,,3500.0
65,뚜레쥬르 카페서현역,"경기도 성남시 분당구 황새울로 332 (서현동,분당문화센터) 1층",경기도,3433.3,3908.0,7020.0,8500.0,4475.0,4600.0,,,3500.0
66,뚜레쥬르 카페시흥정왕,경기도 시흥시 옥구상가 2길 3,경기도,3237.5,4494.9,7114.3,,5091.7,4600.0,3216.7,2933.3,3080.0
67,뚜레쥬르 카페안산중앙,"경기도 안산시 단원구 고잔로 76 (고잔동,영풍빌딩) 영풍맘모스프라자 1층(123호,124호",경기도,3044.4,4162.2,7616.7,7100.0,5144.4,4600.0,3600.0,3266.7,3575.0
68,뚜레쥬르 카페양곡,경기도 김포시 양촌읍 양곡2로80번길 70 (양곡리) 1층,경기도,3000.0,4378.3,7133.3,,5077.8,4300.0,5400.0,2400.0,3100.0
69,뚜레쥬르 파주금촌역,"경기도 파주시 새꽃로 203 (금촌동,백운빌딩) 1층 뚜레쥬르",경기도,3075.0,4408.3,7100.0,9400.0,5078.6,4600.0,3733.3,2933.3,3100.0
70,뚜레쥬르 파주운정가람,경기도 파주시 가람로 47,경기도,3085.7,4150.0,,,5038.5,4600.0,3766.7,2933.3,3120.0
71,뚜레쥬르 판교위든타워,경기도 성남시 수정구 금토로 80번길 56 1동 1층 106호A호(금토동),경기도,2971.4,4409.1,7216.7,8350.0,4425.0,4600.0,3500.0,2933.3,3133.3
72,뚜레쥬르 평촌학원가,경기도 안양시 동안구 평촌대로 113 (호계동) AC프라자 1층 101호,경기도,3045.5,3864.5,7040.0,8400.0,4730.8,4900.0,3175.0,2400.0,3150.0
73,뚜레쥬르 평택법원,경기도 평택시 비전2로 7 (동삭동) 1층 뚜레쥬르,경기도,3211.1,4023.1,7150.0,,5100.0,4300.0,3100.0,2933.3,3040.0
74,뚜레쥬르 평택에이스고덕,경기도 평택시 고덕면 고덕중앙로 290 (여염리) 에이스더 퍼스트 고덕 101~102호,경기도,2700.0,4645.8,,,5050.0,6300.0,4075.0,3800.0,3800.0
75,뚜레쥬르 평택지제영신,경기도 평택시 영신1길 57 1층 102호 뚜레쥬르 평택지제영신점,경기도,3142.9,4291.9,7488.9,8500.0,4972.7,4600.0,3714.3,2966.7,3280.0
76,뚜레쥬르 하남신장,경기도 하남시 더우개로 29 1층,경기도,3263.6,3967.6,7100.0,8300.0,5091.7,4600.0,3333.3,2800.0,3180.0
77,뚜레쥬르 향남2지구,경기도 화성시 향남읍 상신하길로298번길 7-29 (하길리),경기도,3481.8,4318.9,7171.4,8300.0,4727.3,4600.0,3622.2,2400.0,3116.7
78,뚜레쥬르 화성시청,"경기도 화성시 남양읍 시청로 115 (남양리) 101,102호",경기도,3500.0,4252.6,6775.0,9400.0,4807.1,4600.0,3314.3,2800.0,2850.0
79,뚜레쥬르 화정덕양구청,경기도 고양시 덕양구 화중로104번 24 (송화빌딩) 1층 108호,경기도,3022.2,4582.4,7471.4,10500.0,5027.3,4600.0,2700.0,2933.3,3100.0
80,뚜레쥬르 화정중앙,"경기도 고양시 덕양구 화중로 32-31 (화정동,효원빌딩) 1층",경기도,3254.5,4252.5,7400.0,9400.0,5183.3,4600.0,3433.3,3133.3,2800.0
