뚜레쥬르 지점,뚜레쥬르 전남강진,뚜레쥬르 나주혁신중앙,뚜레쥬르 순천선평,뚜레쥬르 순천왕지유심천,뚜레쥬르 전남고흥,뚜레쥬르 광양중마사랑,뚜레쥬르 전남구례,뚜레쥬르 목포하당중흥,뚜레쥬르 목포용해,뚜레쥬르 목포남악부영,뚜레쥬르 남악오룡,뚜레쥬르 순천용당,뚜레쥬르 순천조례명성,뚜레쥬르 여수도원,뚜레쥬르 여수죽림,뚜레쥬르 여수쌍봉,뚜레쥬르 여수엑스포타운,뚜레쥬르 전남완도,뚜레쥬르 진도,뚜레쥬르 광주수완대방,뚜레쥬르 광주월계,뚜레쥬르 광주첨단대라수,뚜레쥬르 광주백운,뚜레쥬르 광주백운DT,뚜레쥬르 광주진월,뚜레쥬르 광주금남로,뚜레쥬르 광주서방,뚜레쥬르 상무,뚜레쥬르 광주동림
마담 얼그레이 크림번,,3800,,,,,,,3800,,,3800,,3800,,3800,,3800,,3800,3800,,3800,3800,3800,,3800,3800,3800
겹겹이 연유 크림 데니쉬,,4900,4900,4900,4700,4900,5200,5200,,4900,,4900,4900,4900,5500,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,,4900,4900,4900
밤이듬뿍맘모스(소),,3000,,,,,,,,,,,,,3400,,3000,5900,,,,3000,3000,3000,3000,,3000,,
밤이 듬뿍 맘모스(대),5300,,5900,5900,5700,5900,,5900,5900,6500,,5900,5900,5900,6300,5900,,,5900,,5900,,5900,5900,5900,,5900,5900,5900
호두 연유 바게트,,4500,,4800,,4500,4200,4500,,,,4500,4500,4500,,4500,,4500,4500,4500,4500,,,,4500,,,4500,
사르르 고구마케이크빵,3300,3200,,,,3200,,3300,3200,,,3200,3200,3200,3700,,,3200,3200,3200,3200,3200,3200,3200,,,3200,,3200
슈크림빵,2000,1900,1900,1900,1900,2100,2000,1900,,2000,,1900,1900,1900,2200,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
후레쉬크림빵,2000,1900,1900,1900,1900,2100,1900,2100,1900,2100,,1900,1900,1900,2300,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
부드러운후레쉬크림샌드빵,6400,,6000,6000,6000,6000,5900,6200,6000,6000,,6000,6000,6000,6200,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
크리미 단팥,,,,,2300,,,,,,,,,,,,,,,,,,,,,,,,
크리미 고구마,,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,
신선해 고소해 후레쉬 크림빵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진짜 고소한 땅콩 크림빵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900
리얼 초코 소라빵,3000,3000,3000,3000,3000,3000,2600,3000,3000,3300,,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
까까웨뜨,2200,2100,,,2100,2100,2100,2100,2100,2200,,2100,2100,2100,2500,,2100,2100,2100,2100,2100,,2100,2100,2100,2100,,,
햄야채롤 (6개입),,,,,,,,4200,4200,4500,,,,,4500,4200,4200,,,4200,4200,4200,4200,4200,4200,,,4200,4200
