뚜레쥬르 지점,뚜레쥬르 경산옥곡,뚜레쥬르 경산정평,뚜레쥬르 경주중앙,뚜레쥬르 경주충효서라벌중앙,뚜레쥬르 구미형곡중앙,뚜레쥬르 김천부곡센트럴,뚜레쥬르 문경중앙,뚜레쥬르 안동정하,뚜레쥬르 옥동호반,뚜레쥬르 영주가흥제일,뚜레쥬르 영천망정,뚜레쥬르 도청신도시,뚜레쥬르 경북울진,뚜레쥬르 경북청도,뚜레쥬르 포항유강,뚜레쥬르 포항이동,뚜레쥬르 포항자이,뚜레쥬르 포항중앙,뚜레쥬르 울산신정현대,뚜레쥬르 울산무거,뚜레쥬르 울산야음롯데,뚜레쥬르 울산전하동,뚜레쥬르 울산방어,뚜레쥬르 울산지웰자이,뚜레쥬르 울산명촌,뚜레쥬르 울산반구강변,뚜레쥬르 울산유곡혁신,뚜레쥬르 대구대봉,뚜레쥬르 대구용산,뚜레쥬르 대구본리,뚜레쥬르 월배삼정,뚜레쥬르 현풍테크노,뚜레쥬르 동대구해모로,뚜레쥬르 동대구더샵디어엘로,뚜레쥬르 복현GS,뚜레쥬르 침산명성푸르지오,뚜레쥬르 서대구센트럴자이,뚜레쥬르 대구신평리,뚜레쥬르 수성3가캐슬,뚜레쥬르 대구달성공원역
부드러운후레쉬크림샌드빵,6000,6000,6200,6000,6000,6000,,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6500,6000,,6900,6000,6000,6000,6000,6000,6000,6000,6000,6000
크리미 단팥,,,,,2300,,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,,,,
크리미 고구마,,,,,2300,,2300,,,,,,,,,,,,,,,,,,,,,,,,,2300,,,,2700,,,,
신선해 고소해 후레쉬 크림빵,,,,1900,,,1900,,,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진짜 고소한 땅콩 크림빵,1900,,,1900,1900,,1900,,,1900,,1900,,,,,,,,,,1900,,,,,,,,1900,,,,,,,,,,
리얼 초코 소라빵,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,,,,3900,3000,3000,3000,3000,3000,3000,3000,3000,3200,3000,2700,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
까까웨뜨,,,,,,,,2100,2100,2100,,,2100,2100,2100,,2100,2100,2100,,2200,,2100,2100,2100,2100,2100,2300,2100,,2200,,,,2100,,,2100,2100,2100
햄야채롤 (6개입),4200,4200,4300,,4200,,,4200,4200,4200,,4200,,4200,,,,,4200,,,4200,,4200,,,4200,4600,,,4800,,,,4200,,4200,4200,,
핫도그 패스트리,3900,3900,3900,3900,,3900,,,3900,3900,3900,,,,3900,3900,,3900,3900,,,3900,3900,3900,,3900,3900,4200,3900,4300,4300,,3900,3900,,,,,,3900
오리지널 핫도그,,,,,,,,,4800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
칠리미트 핫도그,,,,,,,,,4800,,,,,,,,,,,,,,,,,,,,,,4900,,,,,,,,,
New 정통 고로케,2700,2700,3000,2700,,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2900,2700,2700,2700,,2700,2700,3000,2700,3400,3200,2700,2700,2800,3100,3100,2700,2700,2700,3000
추억의 사라다 고로케,3800,3800,,7000,3800,,3800,3800,,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,,3800,3800,3800,3800,4000,3800,,3900,3800,3800,,3900,,,3800,3800,3800
New 김치 고로케,2800,2800,2800,2800,,2800,2800,2800,2800,2800,2800,,2800,2800,2800,2800,,2800,,,,2800,2800,2800,,,2800,3000,2800,3400,3200,3800,2800,,2800,3100,2800,3000,2800,3000
New 바비큐 치킨 고로케,2800,2800,3200,2800,2800,,,2800,2800,2800,2800,,,2800,,,,,2800,2800,,2800,2800,2800,,2800,2800,3000,2800,3400,3200,,3300,,3100,,,2800,2800,
충남 예산 쪽파 고로케,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,,,,,,,
미니 햄치즈롤(10개),4800,,5000,4800,4800,4800,,4800,4800,4800,,4800,4800,4800,4800,4800,4800,4800,4800,4800,5000,4800,4800,4800,4900,4800,4800,5200,4800,5000,5300,4800,4800,4800,,5500,4800,,4800,4800
낙엽 소시지 브레드,3200,3200,3100,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3300,3200,3200,3500,3200,3200,3600,3200,3200,3200,3200,3500,3200,3200,3200,3200
NEW어니언소시지포카치아,,3100,3100,3100,3100,3100,3100,3100,,3100,3100,,3100,,,,,,3100,3100,,,3100,3100,,3100,,3400,3100,3500,,3100,3100,3100,3400,,3100,3100,3100,3100
