뚜레쥬르 지점,뚜레쥬르 충북음성,뚜레쥬르 제천하소로,뚜레쥬르 증평하나로마트,뚜레쥬르 진천성모병원,뚜레쥬르 청원내수,뚜레쥬르 청주용암현대,뚜레쥬르 청주용암부영,뚜레쥬르 청주모충,뚜레쥬르 청주율량,뚜레쥬르 청주가경,뚜레쥬르 청주테크노폴리스,뚜레쥬르 서충주파라뷰,뚜레쥬르 충주용산호암,뚜레쥬르 충북옥천,뚜레쥬르 충북금왕중앙
소금버터롤,2800,2800,2800,5100,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
소보로 만난 앙넛 3개입,,,,,,,,,,,,,,,
겹겹이 초코퐁당,3800,3800,,,,,,,,,3800,,3800,,3800
겹겹이 말차 퐁당,,4300,,,,,,,,,,,,,
깨찰빵,1800,1800,,1800,,,,1800,1800,,,1800,,,
순꿀호떡,2700,,,2700,,,,,2700,,2700,,2700,,
단팥빵,1900,1900,1900,1900,1900,1900,1900,1900,1900,,1900,1900,1900,1900,1900
소보로빵,1900,1900,1900,1900,1900,1900,1900,1900,1900,,1900,1900,1900,1900,1900
단팥소보로빵,3000,3000,3000,3000,3000,,,,,,,3000,,,3000
오리지널 커피번,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,,3300,3300,3300,3300
곰돌이 푸_ 부드러운 카스테라,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,,2900,,2900,2900
완두 앙금빵,1900,,1900,1900,1900,1900,1900,1900,1900,,,1900,,,1900
완두가득 완두 앙금빵,,1900,,,,,,,,,,,,,
맛보로 소보로빵,,1900,,,1900,,,,,,,,,,
팥이 빵빵 단팥빵,,1900,,,1900,,,,,,,,,,
크림치즈 월넛브레드,5400,5400,,5400,5400,5400,5400,,5400,,5400,5400,5400,5400,5400
카페모카빵 (소),,3500,,,,3500,,,3500,,,,3500,,
카페모카빵(대),5300,,5300,5300,5300,,5300,5300,5300,,,5300,5300,5300,5300
카페모카크림빵 (소),3900,,,3900,3900,3900,3900,3900,3900,3900,3900,,3900,3900,
카페모카크림빵 (대),,,,,,,,,,,,,,,
미니치즈롤 (봉),,,,,4900,,,,,4900,,,,,
쫄깃한 찹쌀 도넛,1800,1800,1800,,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,
엄마랑 장볼 때 먹던 그때 그 도나쓰 5개입,3500,3500,,3500,3500,,3500,3500,3500,,3500,3500,,,3500
옛날 꽈배기 도넛,1900,1800,1900,1900,,1900,1900,1900,1900,,1900,1900,1900,1900,1900
앙 호두 버터 샌드,,,,,,5200,,5200,,,,,5200,,
카스테라우유크림블,5100,5100,5100,,5100,5100,5100,5100,5100,,5100,5100,5100,5100,5100
클래식 딸기잼 맘모스,6200,6200,6200,6200,6200,,,,,,,6200,6200,6200,
클래식 딸기잼 맘모스 (소),,3500,,,,3500,,3500,,3500,3500,,,,
라구 소시지 피자빵,,3800,,,,,,,,,,,,,
뚜레1번가 치킨치즈롤,,,,4800,,,,,,,,4800,,,
크로크무슈,3300,3300,,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,,3300
소시지 쌍쌍 브레드,,,,,3200,3200,,,,,3200,3200,3200,,
더블 롤치즈 식빵 (소),4200,4200,4200,4200,,,4200,,4200,,,,,,
치즈방앗간 (3개),4500,,4500,,,,4500,4500,4500,,4500,4500,4500,4500,4500
달콩찹쌀브레드,4500,,,,,,,,4500,,4500,,4500,4500,
